TumblingWindow_Join.numRecordsInPerSecond_min,TumblingWindow_Join.numRecordsInPerSecond_max,TumblingWindow_Join.numRecordsInPerSecond_avg,TumblingWindow_Join.numRecordsInPerSecond_sum,TumblingWindow_Join.currentOutputWatermark_min,TumblingWindow_Join.currentOutputWatermark_max,TumblingWindow_Join.currentOutputWatermark_avg,TumblingWindow_Join.currentOutputWatermark_sum,TumblingWindow_Join.numRecordsOut_min,TumblingWindow_Join.numRecordsOut_max,TumblingWindow_Join.numRecordsOut_avg,TumblingWindow_Join.numRecordsOut_sum,TumblingWindow_Join.numRecordsOutPerSecond_min,TumblingWindow_Join.numRecordsOutPerSecond_max,TumblingWindow_Join.numRecordsOutPerSecond_avg,TumblingWindow_Join.numRecordsOutPerSecond_sum,TumblingWindow_Join.numRecordsIn_min,TumblingWindow_Join.numRecordsIn_max,TumblingWindow_Join.numRecordsIn_avg,TumblingWindow_Join.numRecordsIn_sum,TumblingWindow_Join.currentInputWatermark_min,TumblingWindow_Join.currentInputWatermark_max,TumblingWindow_Join.currentInputWatermark_avg,TumblingWindow_Join.currentInputWatermark_sum,TumblingWindow_Join.numLateRecordsDropped_min,TumblingWindow_Join.numLateRecordsDropped_max,TumblingWindow_Join.numLateRecordsDropped_avg,TumblingWindow_Join.numLateRecordsDropped_sum
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1618421232564.0,1618421232609.0,1618421232597.75,6473684930391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,303.0,204.5,818.0,1618421232564.0,1618421232609.0,1618421232597.75,6473684930391.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1618421232564.0,1618421232609.0,1618421232597.75,6473684930391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,303.0,204.5,818.0,1618421232564.0,1618421232609.0,1618421232597.75,6473684930391.0,0.0,0.0,0.0,0.0
