VCTWindow_join.numRecordsOut_min,VCTWindow_join.numRecordsOut_max,VCTWindow_join.numRecordsOut_avg,VCTWindow_join.numRecordsOut_sum,VCTWindow_join.currentInput1Watermark_min,VCTWindow_join.currentInput1Watermark_max,VCTWindow_join.currentInput1Watermark_avg,VCTWindow_join.currentInput1Watermark_sum,VCTWindow_join.numRecordsInPerSecond_min,VCTWindow_join.numRecordsInPerSecond_max,VCTWindow_join.numRecordsInPerSecond_avg,VCTWindow_join.numRecordsInPerSecond_sum,VCTWindow_join.currentInputWatermark_min,VCTWindow_join.currentInputWatermark_max,VCTWindow_join.currentInputWatermark_avg,VCTWindow_join.currentInputWatermark_sum,VCTWindow_join.numRecordsOutPerSecond_min,VCTWindow_join.numRecordsOutPerSecond_max,VCTWindow_join.numRecordsOutPerSecond_avg,VCTWindow_join.numRecordsOutPerSecond_sum,VCTWindow_join.currentOutputWatermark_min,VCTWindow_join.currentOutputWatermark_max,VCTWindow_join.currentOutputWatermark_avg,VCTWindow_join.currentOutputWatermark_sum,VCTWindow_join.currentInput2Watermark_min,VCTWindow_join.currentInput2Watermark_max,VCTWindow_join.currentInput2Watermark_avg,VCTWindow_join.currentInput2Watermark_sum,VCTWindow_join.numRecordsIn_min,VCTWindow_join.numRecordsIn_max,VCTWindow_join.numRecordsIn_avg,VCTWindow_join.numRecordsIn_sum
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0
