LatencyMeasurement.Latency_min,LatencyMeasurement.Latency_max,LatencyMeasurement.Latency_avg,LatencyMeasurement.Latency_sum,LatencyMeasurement.numRecordsIn_min,LatencyMeasurement.numRecordsIn_max,LatencyMeasurement.numRecordsIn_avg,LatencyMeasurement.numRecordsIn_sum,LatencyMeasurement.numRecordsOut_min,LatencyMeasurement.numRecordsOut_max,LatencyMeasurement.numRecordsOut_avg,LatencyMeasurement.numRecordsOut_sum,LatencyMeasurement.currentOutputWatermark_min,LatencyMeasurement.currentOutputWatermark_max,LatencyMeasurement.currentOutputWatermark_avg,LatencyMeasurement.currentOutputWatermark_sum,LatencyMeasurement.currentInputWatermark_min,LatencyMeasurement.currentInputWatermark_max,LatencyMeasurement.currentInputWatermark_avg,LatencyMeasurement.currentInputWatermark_sum,LatencyMeasurement.numRecordsOutPerSecond_min,LatencyMeasurement.numRecordsOutPerSecond_max,LatencyMeasurement.numRecordsOutPerSecond_avg,LatencyMeasurement.numRecordsOutPerSecond_sum,LatencyMeasurement.numRecordsInPerSecond_min,LatencyMeasurement.numRecordsInPerSecond_max,LatencyMeasurement.numRecordsInPerSecond_avg,LatencyMeasurement.numRecordsInPerSecond_sum
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,1620415087470.0,1620415087470.0,1620415087470.0,6481660349880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1165.0,2485.0,1678.75,6715.0,22325.0,30775.0,25887.5,103550.0,22325.0,30775.0,25887.5,103550.0,1620415097799.0,1620415097799.0,1620415097799.0,6481660391196.0,1620415097799.0,1620415097799.0,1620415097799.0,6481660391196.0,372.0833333333333,512.9166666666666,431.45833333333337,1725.8333333333335,372.0833333333333,512.9166666666666,431.45833333333337,1725.8333333333335
1165.0,2485.0,1678.75,6715.0,22325.0,30775.0,25887.5,103550.0,22325.0,30775.0,25887.5,103550.0,1620415097799.0,1620415097799.0,1620415097799.0,6481660391196.0,1620415097799.0,1620415097799.0,1620415097799.0,6481660391196.0,372.0833333333333,512.9166666666666,431.45833333333337,1725.8333333333335,372.0833333333333,512.9166666666666,431.45833333333337,1725.8333333333335
1165.0,2485.0,1678.75,6715.0,22325.0,30775.0,25887.5,103550.0,22325.0,30775.0,25887.5,103550.0,1620415097799.0,1620415097799.0,1620415097799.0,6481660391196.0,1620415097799.0,1620415097799.0,1620415097799.0,6481660391196.0,372.0833333333333,512.9166666666666,431.45833333333337,1725.8333333333335,372.0833333333333,512.9166666666666,431.45833333333337,1725.8333333333335
