Status.JVM.GarbageCollector.G1_Young_Generation.Count_min,Status.JVM.GarbageCollector.G1_Young_Generation.Count_max,Status.JVM.GarbageCollector.G1_Young_Generation.Count_avg,Status.JVM.GarbageCollector.G1_Young_Generation.Count_sum,Status.JVM.CPU.Load_min,Status.JVM.CPU.Load_max,Status.JVM.CPU.Load_avg,Status.JVM.CPU.Load_sum,Status.JVM.Memory.Heap.Used_min,Status.JVM.Memory.Heap.Used_max,Status.JVM.Memory.Heap.Used_avg,Status.JVM.Memory.Heap.Used_sum,Status.JVM.Memory.Heap.Committed_min,Status.JVM.Memory.Heap.Committed_max,Status.JVM.Memory.Heap.Committed_avg,Status.JVM.Memory.Heap.Committed_sum,Status.JVM.Memory.Heap.Max_min,Status.JVM.Memory.Heap.Max_max,Status.JVM.Memory.Heap.Max_avg,Status.JVM.Memory.Heap.Max_sum,Status.JVM.Memory.NonHeap.Used_min,Status.JVM.Memory.NonHeap.Used_max,Status.JVM.Memory.NonHeap.Used_avg,Status.JVM.Memory.NonHeap.Used_sum,Status.JVM.Memory.NonHeap.Committed_min,Status.JVM.Memory.NonHeap.Committed_max,Status.JVM.Memory.NonHeap.Committed_avg,Status.JVM.Memory.NonHeap.Committed_sum,Status.JVM.Memory.NonHeap.Max_min,Status.JVM.Memory.NonHeap.Max_max,Status.JVM.Memory.NonHeap.Max_avg,Status.JVM.Memory.NonHeap.Max_sum
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
5.0,5.0,5.0,5.0,0.007003675195894875,0.007003675195894875,0.007003675195894875,0.007003675195894875,299446272.0,299446272.0,299446272.0,299446272.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,536870912.0,106820608.0,106820608.0,106820608.0,106820608.0,110559232.0,110559232.0,110559232.0,110559232.0,780140544.0,780140544.0,780140544.0,780140544.0
