latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_min_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_max_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_mean_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p999_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p75_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p98_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p99_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_stddev_value
52,160,122.328125,160.0,144.0,159.42000000000002,160.0,39.38669133390469
52,160,122.328125,160.0,144.0,159.42000000000002,160.0,39.38669133390469
52,160,122.328125,160.0,144.0,159.42000000000002,160.0,39.38669133390469
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
63,546,143.88281249999997,546.0,159.0,452.26,456.84,119.2995262710793
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
69,379,158.28125000000009,379.0,191.5,452.26,456.84,118.80245526075733
14,278,138.11718750000003,278.0,196.5,262.36,280.4899999999999,63.311852654268044
14,278,138.11718750000003,278.0,196.5,262.36,280.4899999999999,63.311852654268044
14,278,138.11718750000003,278.0,196.5,262.36,280.4899999999999,63.311852654268044
14,278,138.11718750000003,278.0,196.5,262.36,280.4899999999999,63.311852654268044
14,278,138.11718750000003,278.0,196.5,262.36,280.4899999999999,63.311852654268044
14,278,138.11718750000003,278.0,196.5,262.36,280.4899999999999,63.311852654268044
14,278,138.11718750000003,278.0,196.5,262.36,280.4899999999999,63.311852654268044
14,278,138.11718750000003,278.0,196.5,262.36,280.4899999999999,63.311852654268044
