latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p99_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p98_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_mean_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p98_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p99_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p75_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_max_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_min_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p95_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p90_value
160.0,160.0,120.66406249999999,160.0,160.0,142.75,160,51,148.84999999999997,146.80000000000007
160.0,160.0,120.66406249999999,160.0,160.0,142.75,160,51,148.84999999999997,146.80000000000007
160.0,160.0,120.66406249999999,160.0,160.0,142.75,160,51,148.84999999999997,146.80000000000007
160.0,160.0,120.66406249999999,160.0,160.0,142.75,160,51,148.84999999999997,146.80000000000007
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
724.8399999999993,617.94,162.46874999999997,368.78000000000003,439.3199999999994,160.0,458,88,532.0,190.0
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
578.6299999999997,490.54000000000013,178.26562500000003,368.78000000000003,439.3199999999994,190.0,458,25,370.34999999999997,235.20000000000002
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
273.5899999999998,243.14000000000004,125.44531249999996,252.76000000000005,281.0699999999999,165.0,286,11,216.64999999999998,214.40000000000003
210.32999999999987,189.94,81.5078125,172.36,179.83999999999997,132.75,240,11,174.1,143.20000000000002
