latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p75_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_max_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_min_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p95_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p98_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_median_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p90_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p90_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p90_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_mean_value
143.0,160,43,158.0,161.0,139.5,146.0,153.10000000000002,157.0,125.95312499999994
143.0,160,43,158.0,161.0,139.5,146.0,153.10000000000002,157.0,125.95312499999994
143.0,160,43,158.0,161.0,139.5,146.0,153.10000000000002,157.0,125.95312499999994
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
152.0,466,51,273.3499999999999,648.2,150.0,166.0,295.70000000000005,166.10000000000002,177.92968750000003
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
187.0,466,74,275.1499999999999,648.2,153.5,217.3,295.70000000000005,223.10000000000002,174.74999999999994
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
193.0,286,15,236.75,285.42,124.5,210.40000000000003,210.20000000000002,214.40000000000003,125.71874999999996
135.75,181,15,191.64999999999998,213.68,71.5,150.10000000000002,157.3,162.50000000000006,99.94531250000001
135.75,181,15,191.64999999999998,213.68,71.5,150.10000000000002,157.3,162.50000000000006,99.94531250000001
135.75,181,15,191.64999999999998,213.68,71.5,150.10000000000002,157.3,162.50000000000006,99.94531250000001
135.75,181,15,191.64999999999998,213.68,71.5,150.10000000000002,157.3,162.50000000000006,99.94531250000001
135.75,181,15,191.64999999999998,213.68,71.5,150.10000000000002,157.3,162.50000000000006,99.94531250000001
135.75,181,15,191.64999999999998,213.68,71.5,150.10000000000002,157.3,162.50000000000006,99.94531250000001
135.75,181,15,191.64999999999998,213.68,71.5,150.10000000000002,157.3,162.50000000000006,99.94531250000001
