latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_min_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p99_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p98_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_median_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p99_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_stddev_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_stddev_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p98_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p95_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p75_value
53,159.42,158.0,139.0,160.0,35.13102496173725,36.04936671498101,159.42000000000002,158.55,143.0
53,159.42,158.0,139.0,160.0,35.13102496173725,36.04936671498101,159.42000000000002,158.55,143.0
53,159.42,158.0,139.0,160.0,35.13102496173725,36.04936671498101,159.42000000000002,158.55,143.0
53,159.42,158.0,139.0,160.0,35.13102496173725,36.04936671498101,159.42000000000002,158.55,143.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
58,689.2799999999995,639.84,147.0,630.81,55.45465046210297,126.56965239340825,586.4600000000002,535.55,166.0
