Window_join_the_incoming_items.currentInput2Watermark_min,Window_join_the_incoming_items.currentInput2Watermark_max,Window_join_the_incoming_items.currentInput2Watermark_avg,Window_join_the_incoming_items.currentInput2Watermark_sum,Window_join_the_incoming_items.currentInputWatermark_min,Window_join_the_incoming_items.currentInputWatermark_max,Window_join_the_incoming_items.currentInputWatermark_avg,Window_join_the_incoming_items.currentInputWatermark_sum,Window_join_the_incoming_items.numRecordsIn_min,Window_join_the_incoming_items.numRecordsIn_max,Window_join_the_incoming_items.numRecordsIn_avg,Window_join_the_incoming_items.numRecordsIn_sum,Window_join_the_incoming_items.numRecordsOut_min,Window_join_the_incoming_items.numRecordsOut_max,Window_join_the_incoming_items.numRecordsOut_avg,Window_join_the_incoming_items.numRecordsOut_sum,Window_join_the_incoming_items.numRecordsOutPerSecond_min,Window_join_the_incoming_items.numRecordsOutPerSecond_max,Window_join_the_incoming_items.numRecordsOutPerSecond_avg,Window_join_the_incoming_items.numRecordsOutPerSecond_sum,Window_join_the_incoming_items.numRecordsInPerSecond_min,Window_join_the_incoming_items.numRecordsInPerSecond_max,Window_join_the_incoming_items.numRecordsInPerSecond_avg,Window_join_the_incoming_items.numRecordsInPerSecond_sum,Window_join_the_incoming_items.currentOutputWatermark_min,Window_join_the_incoming_items.currentOutputWatermark_max,Window_join_the_incoming_items.currentOutputWatermark_avg,Window_join_the_incoming_items.currentOutputWatermark_sum,Window_join_the_incoming_items.currentInput1Watermark_min,Window_join_the_incoming_items.currentInput1Watermark_max,Window_join_the_incoming_items.currentInput1Watermark_avg,Window_join_the_incoming_items.currentInput1Watermark_sum
-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19
-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19
-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-3.6893488147419103e+19
1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,572.0,788.0,687.75,2751.0,7778.0,9833.0,8923.5,35694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216300.25,6473052865201.0
1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,572.0,788.0,687.75,2751.0,7778.0,9833.0,8923.5,35694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216300.25,6473052865201.0
1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,572.0,788.0,687.75,2751.0,7778.0,9833.0,8923.5,35694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216300.25,6473052865201.0
1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,572.0,788.0,687.75,2751.0,7778.0,9833.0,8923.5,35694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216300.25,6473052865201.0
1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,572.0,788.0,687.75,2751.0,7778.0,9833.0,8923.5,35694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216300.25,6473052865201.0
1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,572.0,788.0,687.75,2751.0,7778.0,9833.0,8923.5,35694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216300.25,6473052865201.0
1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,572.0,788.0,687.75,2751.0,7778.0,9833.0,8923.5,35694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618263216229.0,1618263216324.0,1618263216267.75,6473052865071.0,1618263216229.0,1618263216324.0,1618263216300.25,6473052865201.0
