latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_median_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_median_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_mean_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p75_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p98_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_min_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_stddev_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_max_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p95_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_mean_value
141.0,140.0,126.4921875,144.0,160.0,42,40.0682703566061,161,159.0,128.35937500000006
141.0,140.0,126.4921875,144.0,160.0,42,40.0682703566061,161,159.0,128.35937500000006
141.0,140.0,126.4921875,144.0,160.0,42,40.0682703566061,161,159.0,128.35937500000006
141.0,140.0,126.4921875,144.0,160.0,42,40.0682703566061,161,159.0,128.35937500000006
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
148.0,148.0,155.796875,159.0,361.02000000000004,51,74.6667790335177,451,248.2,201.140625
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
150.0,126.0,159.47656249999994,195.25,283.46000000000004,15,72.4746969149467,451,248.64999999999998,174.10156250000006
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
122.0,119.0,131.90624999999997,190.0,257.56000000000006,15,62.57714874283953,268,241.0,119.03124999999997
81.0,112.0,89.203125,128.25,198.26,23,49.957047865117445,195,173.64999999999998,88.99999999999997
81.0,112.0,89.203125,128.25,198.26,23,49.957047865117445,195,173.64999999999998,88.99999999999997
81.0,112.0,89.203125,128.25,198.26,23,49.957047865117445,195,173.64999999999998,88.99999999999997
81.0,112.0,89.203125,128.25,198.26,23,49.957047865117445,195,173.64999999999998,88.99999999999997
81.0,112.0,89.203125,128.25,198.26,23,49.957047865117445,195,173.64999999999998,88.99999999999997
81.0,112.0,89.203125,128.25,198.26,23,49.957047865117445,195,173.64999999999998,88.99999999999997
