latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_stddev_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_median_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_stddev_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p75_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p75_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_stddev_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_min_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p75_value
31.14829512782487,139.0,160.0,31.803464966230766,143.75,143.0,32.519856895744255,160.0,51,144.0
31.14829512782487,139.0,160.0,31.803464966230766,143.75,143.0,32.519856895744255,160.0,51,144.0
31.14829512782487,139.0,160.0,31.803464966230766,143.75,143.0,32.519856895744255,160.0,51,144.0
31.14829512782487,139.0,160.0,31.803464966230766,143.75,143.0,32.519856895744255,160.0,51,144.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
118.57173316398733,148.0,709.0,123.68939600091376,161.0,163.0,49.5857836328544,634.0,59,162.0
