latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p95_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p98_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p95_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p99_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_min_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_mean_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_stddev_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_p99_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_median_value
160.0,159.55,160.0,158.55,161.0,46,129.85937500000003,37.71639663068504,160.70999999999998,140.0
160.0,159.55,160.0,158.55,161.0,46,129.85937500000003,37.71639663068504,160.70999999999998,140.0
160.0,159.55,160.0,158.55,161.0,46,129.85937500000003,37.71639663068504,160.70999999999998,140.0
466.0,477.29999999999995,399.5000000000001,244.19999999999993,891.7399999999982,49,186.6875,64.63247807371167,448.67999999999995,149.0
466.0,477.29999999999995,399.5000000000001,244.19999999999993,891.7399999999982,49,186.6875,64.63247807371167,448.67999999999995,149.0
466.0,477.29999999999995,399.5000000000001,244.19999999999993,891.7399999999982,49,186.6875,64.63247807371167,448.67999999999995,149.0
466.0,477.29999999999995,399.5000000000001,244.19999999999993,891.7399999999982,49,186.6875,64.63247807371167,448.67999999999995,149.0
466.0,477.29999999999995,399.5000000000001,244.19999999999993,891.7399999999982,49,186.6875,64.63247807371167,448.67999999999995,149.0
466.0,477.29999999999995,399.5000000000001,244.19999999999993,891.7399999999982,49,186.6875,64.63247807371167,448.67999999999995,149.0
466.0,477.29999999999995,399.5000000000001,244.19999999999993,891.7399999999982,49,186.6875,64.63247807371167,448.67999999999995,149.0
466.0,477.29999999999995,399.5000000000001,244.19999999999993,891.7399999999982,49,186.6875,64.63247807371167,448.67999999999995,149.0
466.0,477.29999999999995,399.5000000000001,244.19999999999993,891.7399999999982,49,186.6875,64.63247807371167,448.67999999999995,149.0
