latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p90_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_mean_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_median_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p95_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_p90_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p95_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.0.latency_p90_value,latency.source_id.feca28aff5a3958840bee985ee7de4d3.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.3.latency_p999_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.2.latency_median_value,latency.source_id.bc764cd8ddf7a0cff126f51c16239658.operator_id.b7868a2f9612446a30af8150d6eedb0e.operator_subtask_index.1.latency_mean_value
155.10000000000002,124.65625,140.0,157.0,145.0,158.55,155.10000000000002,160.0,140.0,128.453125
155.10000000000002,124.65625,140.0,157.0,145.0,158.55,155.10000000000002,160.0,140.0,128.453125
155.10000000000002,124.65625,140.0,157.0,145.0,158.55,155.10000000000002,160.0,140.0,128.453125
155.10000000000002,124.65625,140.0,157.0,145.0,158.55,155.10000000000002,160.0,140.0,128.453125
415.5000000000001,147.92968749999994,147.0,486.69999999999993,378.70000000000005,280.94999999999993,214.50000000000063,458.0,150.5,158.8828124999999
415.5000000000001,147.92968749999994,147.0,486.69999999999993,378.70000000000005,280.94999999999993,214.50000000000063,458.0,150.5,158.8828124999999
415.5000000000001,147.92968749999994,147.0,486.69999999999993,378.70000000000005,280.94999999999993,214.50000000000063,458.0,150.5,158.8828124999999
415.5000000000001,147.92968749999994,147.0,486.69999999999993,378.70000000000005,280.94999999999993,214.50000000000063,458.0,150.5,158.8828124999999
415.5000000000001,147.92968749999994,147.0,486.69999999999993,378.70000000000005,280.94999999999993,214.50000000000063,458.0,150.5,158.8828124999999
415.5000000000001,147.92968749999994,147.0,486.69999999999993,378.70000000000005,280.94999999999993,214.50000000000063,458.0,150.5,158.8828124999999
415.5000000000001,147.92968749999994,147.0,486.69999999999993,378.70000000000005,280.94999999999993,214.50000000000063,458.0,150.5,158.8828124999999
