TumblingWindow_Join.numRecordsInPerSecond_min,TumblingWindow_Join.numRecordsInPerSecond_max,TumblingWindow_Join.numRecordsInPerSecond_avg,TumblingWindow_Join.numRecordsInPerSecond_sum,TumblingWindow_Join.currentOutputWatermark_min,TumblingWindow_Join.currentOutputWatermark_max,TumblingWindow_Join.currentOutputWatermark_avg,TumblingWindow_Join.currentOutputWatermark_sum,TumblingWindow_Join.numRecordsOut_min,TumblingWindow_Join.numRecordsOut_max,TumblingWindow_Join.numRecordsOut_avg,TumblingWindow_Join.numRecordsOut_sum,TumblingWindow_Join.numRecordsOutPerSecond_min,TumblingWindow_Join.numRecordsOutPerSecond_max,TumblingWindow_Join.numRecordsOutPerSecond_avg,TumblingWindow_Join.numRecordsOutPerSecond_sum,TumblingWindow_Join.numRecordsIn_min,TumblingWindow_Join.numRecordsIn_max,TumblingWindow_Join.numRecordsIn_avg,TumblingWindow_Join.numRecordsIn_sum,TumblingWindow_Join.currentInputWatermark_min,TumblingWindow_Join.currentInputWatermark_max,TumblingWindow_Join.currentInputWatermark_avg,TumblingWindow_Join.currentInputWatermark_sum,TumblingWindow_Join.numLateRecordsDropped_min,TumblingWindow_Join.numLateRecordsDropped_max,TumblingWindow_Join.numLateRecordsDropped_avg,TumblingWindow_Join.numLateRecordsDropped_sum
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-2.7670116110564327e+19,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
10.083333333333334,13.166666666666666,11.333333333333334,34.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,5475.0,6600.0,6016.666666666667,18050.0,16.466666666666665,21.45,19.516666666666666,58.55,1032.0,1440.0,1207.3333333333333,3622.0,1619036073324.0,1619036073324.0,1619036073324.0,4857108219972.0,0.0,0.0,0.0,0.0
68.7,72.41666666666667,70.26111111111112,210.78333333333336,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,63075.0,64538.0,63728.0,191184.0,896.0833333333334,933.0666666666667,912.0444444444444,2736.133333333333,4895.0,5421.0,5077.333333333333,15232.0,1619036082029.0,1619036082039.0,1619036082035.6667,4857108246107.0,0.0,0.0,0.0,0.0
68.7,72.41666666666667,70.26111111111112,210.78333333333336,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,63075.0,64538.0,63728.0,191184.0,896.0833333333334,933.0666666666667,912.0444444444444,2736.133333333333,4895.0,5421.0,5077.333333333333,15232.0,1619036082029.0,1619036082039.0,1619036082035.6667,4857108246107.0,0.0,0.0,0.0,0.0
68.7,72.41666666666667,70.26111111111112,210.78333333333336,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,63075.0,64538.0,63728.0,191184.0,896.0833333333334,933.0666666666667,912.0444444444444,2736.133333333333,4895.0,5421.0,5077.333333333333,15232.0,1619036082029.0,1619036082039.0,1619036082035.6667,4857108246107.0,0.0,0.0,0.0,0.0
68.7,72.41666666666667,70.26111111111112,210.78333333333336,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,63075.0,64538.0,63728.0,191184.0,896.0833333333334,933.0666666666667,912.0444444444444,2736.133333333333,4895.0,5421.0,5077.333333333333,15232.0,1619036082029.0,1619036082039.0,1619036082035.6667,4857108246107.0,0.0,0.0,0.0,0.0
68.7,72.41666666666667,70.26111111111112,210.78333333333336,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,63075.0,64538.0,63728.0,191184.0,896.0833333333334,933.0666666666667,912.0444444444444,2736.133333333333,4895.0,5421.0,5077.333333333333,15232.0,1619036082029.0,1619036082039.0,1619036082035.6667,4857108246107.0,0.0,0.0,0.0,0.0
68.7,72.41666666666667,70.26111111111112,210.78333333333336,1619036081969.0,1619036081989.0,1619036081982.3333,4857108245947.0,63075.0,64538.0,63728.0,191184.0,896.0833333333334,933.0666666666667,912.0444444444444,2736.133333333333,4895.0,5421.0,5077.333333333333,15232.0,1619036082029.0,1619036082039.0,1619036082035.6667,4857108246107.0,0.0,0.0,0.0,0.0
